Description,Cells,Marker,Imaging Source,Resource Location,Start Time,End Time,Comments
#27470_-_BWM-DR02',,,test,wormguides/models/obj_files/#27470_-_BWM-DR02_t1.obj',1,1,
#27743_-_hyp',,,test,wormguides/models/obj_files/#27743_-_hyp_t1.obj',1,1,
#27762_-_BWM-DL06',,,test,wormguides/models/obj_files/#27762_-_BWM-DL06_t1.obj',1,1,
#27786_-_BWM-VR06',,,test,wormguides/models/obj_files/#27786_-_BWM-VR06_t1.obj',1,1,
#27793_-_seam',,,test,wormguides/models/obj_files/#27793_-_seam_t1.obj',1,1,
#27807_-_seam',,,test,wormguides/models/obj_files/#27807_-_seam_t1.obj',1,1,
#27814_-_seam',,,test,wormguides/models/obj_files/#27814_-_seam_t1.obj',1,1,
#27821_-_BWM-DR06',,,test,wormguides/models/obj_files/#27821_-_BWM-DR06_t1.obj',1,1,
#27828_-_BWM-VL06',,,test,wormguides/models/obj_files/#27828_-_BWM-VL06_t1.obj',1,1,
#29569_-_shsoVR',,,test,wormguides/models/obj_files/#29569_-_shsoVR_t1.obj',1,1,
#35137_-_AVFRL',,,test,wormguides/models/obj_files/#35137_-_AVFRL_t1.obj',1,1,
#35366_-_PVNLR',,,test,wormguides/models/obj_files/#35366_-_PVNLR_t1.obj',1,1,
#35381_-_PVNLR',,,test,wormguides/models/obj_files/#35381_-_PVNLR_t1.obj',1,1,
#37140_-_shsoDL',,,test,wormguides/models/obj_files/#37140_-_shsoDL_t1.obj',1,1,
#44560_-_BWM-VR08',,,test,wormguides/models/obj_files/#44560_-_BWM-VR08_t1.obj',1,1,
#44564_-_BWM-VR07',,,test,wormguides/models/obj_files/#44564_-_BWM-VR07_t1.obj',1,1,
#49901_-_BWM-VL01',,,test,wormguides/models/obj_files/#49901_-_BWM-VL01_t1.obj',1,1,
#49907_-_BWM-VL04',,,test,wormguides/models/obj_files/#49907_-_BWM-VL04_t1.obj',1,1,
#51389_-_CEPsh',,,test,wormguides/models/obj_files/#51389_-_CEPsh_t1.obj',1,1,
#51430_-_shsoDL',,,test,wormguides/models/obj_files/#51430_-_shsoDL_t1.obj',1,1,
#51437_-_shsoVL',,,test,wormguides/models/obj_files/#51437_-_shsoVL_t1.obj',1,1,
#51444_-_shsoVL',,,test,wormguides/models/obj_files/#51444_-_shsoVL_t1.obj',1,1,
#51466_-_BWM-VR05',,,test,wormguides/models/obj_files/#51466_-_BWM-VR05_t1.obj',1,1,
#51647_-_BWM-VL08',,,test,wormguides/models/obj_files/#51647_-_BWM-VL08_t1.obj',1,1,
#52580_-_BWM-DL02',,,test,wormguides/models/obj_files/#52580_-_BWM-DL02_t1.obj',1,1,
#53403_-_BWM-VL03',,,test,wormguides/models/obj_files/#53403_-_BWM-VL03_t1.obj',1,1,
#53407_-_BWM-VL05',,,test,wormguides/models/obj_files/#53407_-_BWM-VL05_t1.obj',1,1,
#53411_-_BWM-VL07',,,test,wormguides/models/obj_files/#53411_-_BWM-VL07_t1.obj',1,1,
#53429_-_BWM-DL08',,,test,wormguides/models/obj_files/#53429_-_BWM-DL08_t1.obj',1,1,
#53433_-_BWM-DL01',,,test,wormguides/models/obj_files/#53433_-_BWM-DL01_t1.obj',1,1,
#53437_-_BWM-DL05',,,test,wormguides/models/obj_files/#53437_-_BWM-DL05_t1.obj',1,1,
#53441_-_BWM-DL03',,,test,wormguides/models/obj_files/#53441_-_BWM-DL03_t1.obj',1,1,
#53445_-_BWM-DL07',,,test,wormguides/models/obj_files/#53445_-_BWM-DL07_t1.obj',1,1,
#53456_-_BWM-DR07',,,test,wormguides/models/obj_files/#53456_-_BWM-DR07_t1.obj',1,1,
#53460_-_BWM-DR05',,,test,wormguides/models/obj_files/#53460_-_BWM-DR05_t1.obj',1,1,
#53464_-_BWM-DR03',,,test,wormguides/models/obj_files/#53464_-_BWM-DR03_t1.obj',1,1,
#53468_-_BWM-DR08',,,test,wormguides/models/obj_files/#53468_-_BWM-DR08_t1.obj',1,1,
#53701_-_hyp',,,test,wormguides/models/obj_files/#53701_-_hyp_t1.obj',1,1,
#53719_-_hyp',,,test,wormguides/models/obj_files/#53719_-_hyp_t1.obj',1,1,
#53772_-_BWM-DR04',,,test,wormguides/models/obj_files/#53772_-_BWM-DR04_t1.obj',1,1,
#53787_-_BWM-DL04',,,test,wormguides/models/obj_files/#53787_-_BWM-DL04_t1.obj',1,1,
#55804_-_AVFLR',,,test,wormguides/models/obj_files/#55804_-_AVFLR_t1.obj',1,1,
#56296_-_CEPsh',,,test,wormguides/models/obj_files/#56296_-_CEPsh_t1.obj',1,1,
#56682_-_VA1DB1',,,test,wormguides/models/obj_files/#56682_-_VA1DB1_t1.obj',1,1,
#56698_-_DB1VA1',,,test,wormguides/models/obj_files/#56698_-_DB1VA1_t1.obj',1,1,
#790_-_exc_gl',,,test,wormguides/models/obj_files/#790_-_exc_gl_t1.obj',1,1,
Inputs_of_1021_-_BWM-VR02',,,test,wormguides/models/obj_files/Inputs_of_1021_-_BWM-VR02_t1.obj',1,1,
Inputs_of_1341_-_PVNLR',,,test,wormguides/models/obj_files/Inputs_of_1341_-_PVNLR_t1.obj',1,1,
Inputs_of_21269_-_BWM-DR01',,,test,wormguides/models/obj_files/Inputs_of_21269_-_BWM-DR01_t1.obj',1,1,
Inputs_of_21525_-_BWM-VL02',,,test,wormguides/models/obj_files/Inputs_of_21525_-_BWM-VL02_t1.obj',1,1,
Inputs_of_2229_-_BWM-VR03',,,test,wormguides/models/obj_files/Inputs_of_2229_-_BWM-VR03_t1.obj',1,1,
Inputs_of_25925_-_BWM-VR01',,,test,wormguides/models/obj_files/Inputs_of_25925_-_BWM-VR01_t1.obj',1,1,
Inputs_of_27464_-_BWM-VR04',,,test,wormguides/models/obj_files/Inputs_of_27464_-_BWM-VR04_t1.obj',1,1,
Inputs_of_27470_-_BWM-DR02',,,test,wormguides/models/obj_files/Inputs_of_27470_-_BWM-DR02_t1.obj',1,1,
Inputs_of_27762_-_BWM-DL06',,,test,wormguides/models/obj_files/Inputs_of_27762_-_BWM-DL06_t1.obj',1,1,
Inputs_of_27786_-_BWM-VR06',,,test,wormguides/models/obj_files/Inputs_of_27786_-_BWM-VR06_t1.obj',1,1,
Inputs_of_27828_-_BWM-VL06',,,test,wormguides/models/obj_files/Inputs_of_27828_-_BWM-VL06_t1.obj',1,1,
Inputs_of_35137_-_AVFRL',,,test,wormguides/models/obj_files/Inputs_of_35137_-_AVFRL_t1.obj',1,1,
Inputs_of_35366_-_PVNLR',,,test,wormguides/models/obj_files/Inputs_of_35366_-_PVNLR_t1.obj',1,1,
Inputs_of_35381_-_PVNLR',,,test,wormguides/models/obj_files/Inputs_of_35381_-_PVNLR_t1.obj',1,1,
Inputs_of_44564_-_BWM-VR07',,,test,wormguides/models/obj_files/Inputs_of_44564_-_BWM-VR07_t1.obj',1,1,
Inputs_of_49901_-_BWM-VL01',,,test,wormguides/models/obj_files/Inputs_of_49901_-_BWM-VL01_t1.obj',1,1,
Inputs_of_49907_-_BWM-VL04',,,test,wormguides/models/obj_files/Inputs_of_49907_-_BWM-VL04_t1.obj',1,1,
Inputs_of_51466_-_BWM-VR05',,,test,wormguides/models/obj_files/Inputs_of_51466_-_BWM-VR05_t1.obj',1,1,
Inputs_of_52580_-_BWM-DL02',,,test,wormguides/models/obj_files/Inputs_of_52580_-_BWM-DL02_t1.obj',1,1,
Inputs_of_53403_-_BWM-VL03',,,test,wormguides/models/obj_files/Inputs_of_53403_-_BWM-VL03_t1.obj',1,1,
Inputs_of_53407_-_BWM-VL05',,,test,wormguides/models/obj_files/Inputs_of_53407_-_BWM-VL05_t1.obj',1,1,
Inputs_of_53411_-_BWM-VL07',,,test,wormguides/models/obj_files/Inputs_of_53411_-_BWM-VL07_t1.obj',1,1,
Inputs_of_53433_-_BWM-DL01',,,test,wormguides/models/obj_files/Inputs_of_53433_-_BWM-DL01_t1.obj',1,1,
Inputs_of_53441_-_BWM-DL03',,,test,wormguides/models/obj_files/Inputs_of_53441_-_BWM-DL03_t1.obj',1,1,
Inputs_of_53445_-_BWM-DL07',,,test,wormguides/models/obj_files/Inputs_of_53445_-_BWM-DL07_t1.obj',1,1,
Inputs_of_53460_-_BWM-DR05',,,test,wormguides/models/obj_files/Inputs_of_53460_-_BWM-DR05_t1.obj',1,1,
Inputs_of_53464_-_BWM-DR03',,,test,wormguides/models/obj_files/Inputs_of_53464_-_BWM-DR03_t1.obj',1,1,
Inputs_of_53772_-_BWM-DR04',,,test,wormguides/models/obj_files/Inputs_of_53772_-_BWM-DR04_t1.obj',1,1,
Inputs_of_53787_-_BWM-DL04',,,test,wormguides/models/obj_files/Inputs_of_53787_-_BWM-DL04_t1.obj',1,1,
Inputs_of_55804_-_AVFLR',,,test,wormguides/models/obj_files/Inputs_of_55804_-_AVFLR_t1.obj',1,1,
Inputs_of_56296_-_CEPsh',,,test,wormguides/models/obj_files/Inputs_of_56296_-_CEPsh_t1.obj',1,1,
Inputs_of_790_-_exc_gl',,,test,wormguides/models/obj_files/Inputs_of_790_-_exc_gl_t1.obj',1,1,
Outputs_of_1341_-_PVNLR',,,test,wormguides/models/obj_files/Outputs_of_1341_-_PVNLR_t1.obj',1,1,
Outputs_of_35137_-_AVFRL',,,test,wormguides/models/obj_files/Outputs_of_35137_-_AVFRL_t1.obj',1,1,
Outputs_of_35366_-_PVNLR',,,test,wormguides/models/obj_files/Outputs_of_35366_-_PVNLR_t1.obj',1,1,
Outputs_of_35381_-_PVNLR',,,test,wormguides/models/obj_files/Outputs_of_35381_-_PVNLR_t1.obj',1,1,
Outputs_of_55804_-_AVFLR',,,test,wormguides/models/obj_files/Outputs_of_55804_-_AVFLR_t1.obj',1,1,
Outputs_of_56682_-_VA1DB1',,,test,wormguides/models/obj_files/Outputs_of_56682_-_VA1DB1_t1.obj',1,1,
